theta1,theta2
1.0122,2.0381
1.0148,2.0354
1.0173,2.0327
1.0198,2.0299
1.0224,2.0272
1.0249,2.0245
1.0274,2.0217
1.03,2.019
1.0325,2.0162
1.035,2.0135
1.0375,2.0107
1.0401,2.008
1.0426,2.0052
1.0451,2.0024
1.0476,1.9997
1.0501,1.9969
1.0526,1.9941
1.0551,1.9913
1.0576,1.9886
1.0601,1.9858
1.0626,1.983
1.0651,1.9802
1.0676,1.9774
1.07,1.9746
1.0725,1.9718
1.075,1.969
1.0775,1.9662
1.08,1.9634
1.0824,1.9606
1.0849,1.9578
1.0874,1.955
1.0898,1.9521
1.0923,1.9493
1.0948,1.9465
1.0972,1.9437
1.0997,1.9408
1.1021,1.938
1.1046,1.9351
1.107,1.9323
1.1095,1.9295
1.1119,1.9266
1.1144,1.9237
1.1168,1.9209
1.1192,1.918
1.1217,1.9152
1.1241,1.9123
1.1265,1.9094
1.129,1.9065
1.1314,1.9037
1.1338,1.9008
1.1363,1.8979
1.1387,1.895
1.1411,1.8921
1.1435,1.8892
1.146,1.8863
1.1484,1.8834
1.1508,1.8805
1.1532,1.8776
1.1556,1.8747
1.158,1.8718
1.1604,1.8688
1.1628,1.8659
1.1653,1.863
1.1677,1.8601
1.1701,1.8571
1.1725,1.8542
1.1749,1.8512
1.1773,1.8483
1.1797,1.8453
1.1821,1.8424
1.1845,1.8394
1.1869,1.8365
1.1893,1.8335
1.1917,1.8305
1.194,1.8276
1.1964,1.8246
1.1988,1.8216
1.2012,1.8186
1.2036,1.8156
1.206,1.8126
1.2084,1.8096
1.2108,1.8066
1.2132,1.8036
1.2155,1.8006
1.2179,1.7976
1.2203,1.7946
1.2227,1.7916
1.2251,1.7885
1.2274,1.7855
1.2298,1.7825
1.2322,1.7794
1.2346,1.7764
1.237,1.7733
1.2393,1.7703
1.2417,1.7672
1.2441,1.7642
1.2465,1.7611
1.2488,1.758
1.2512,1.755
1.2536,1.7519
1.2559,1.7488
1.2583,1.7457
1.2607,1.7426
1.2631,1.7395
1.2654,1.7364
1.2678,1.7333
1.2702,1.7302
1.2725,1.7271
1.2749,1.724
1.2773,1.7209
1.2797,1.7177
1.282,1.7146
1.2844,1.7115
1.2868,1.7083
1.2891,1.7052
1.2915,1.702
1.2939,1.6989
1.2962,1.6957
1.2986,1.6926
1.301,1.6894
1.3033,1.6862
1.3057,1.683
1.3081,1.6799
1.3105,1.6767
1.3128,1.6735
1.3152,1.6703
1.3176,1.6671
1.3199,1.6639
1.3223,1.6607
1.3247,1.6574
1.3271,1.6542
1.3294,1.651
1.3318,1.6477
1.3342,1.6445
1.3365,1.6413
1.3389,1.638
1.3413,1.6348
1.3437,1.6315
1.346,1.6282
1.3484,1.625
1.3508,1.6217
1.3532,1.6184
1.3556,1.6151
1.3579,1.6118
1.3603,1.6085
1.3627,1.6052
1.3651,1.6019
1.3675,1.5986
1.3698,1.5953
1.3722,1.5919
1.3746,1.5886
1.377,1.5853
1.3794,1.5819
1.3818,1.5786
1.3842,1.5752
1.3865,1.5719
1.3889,1.5685
1.3913,1.5651
1.3937,1.5617
1.3961,1.5583
1.3985,1.5549
1.4009,1.5515
1.4033,1.5481
1.4057,1.5447
1.4081,1.5413
1.4105,1.5379
1.4129,1.5345
1.4153,1.531
1.4177,1.5276
1.4201,1.5241
1.4225,1.5207
1.425,1.5172
1.4274,1.5137
1.4298,1.5103
1.4322,1.5068
1.4346,1.5033
1.437,1.4998
1.4395,1.4963
1.4419,1.4928
1.4443,1.4893
1.4467,1.4857
1.4492,1.4822
1.4516,1.4787
1.454,1.4751
1.4565,1.4716
1.4589,1.468
1.4613,1.4644
1.4638,1.4608
1.4662,1.4573
1.4687,1.4537
1.4711,1.4501
1.4736,1.4465
1.476,1.4429
1.4785,1.4392
1.4809,1.4356
1.4834,1.432
1.4858,1.4283
1.4883,1.4247
1.4908,1.421
1.4933,1.4173
1.4957,1.4137
1.4982,1.41
1.5007,1.4063
1.5032,1.4026
1.5056,1.3989
1.5081,1.3952
1.5106,1.3914
1.5131,1.3877
1.5156,1.3839
1.5181,1.3802
1.5206,1.3764
1.5231,1.3727
1.5231,1.3727
1.5205,1.3752
1.5179,1.3777
1.5153,1.3801
1.5126,1.3826
1.51,1.3851
1.5074,1.3876
1.5048,1.39
1.5022,1.3925
1.4996,1.3949
1.497,1.3974
1.4944,1.3998
1.4918,1.4022
1.4892,1.4047
1.4866,1.4071
1.484,1.4095
1.4814,1.4119
1.4788,1.4143
1.4762,1.4167
1.4736,1.419
1.471,1.4214
1.4684,1.4238
1.4658,1.4261
1.4632,1.4285
1.4606,1.4308
1.458,1.4331
1.4554,1.4355
1.4528,1.4378
1.4502,1.4401
1.4476,1.4424
1.4451,1.4447
1.4425,1.447
1.4399,1.4493
1.4373,1.4516
1.4347,1.4539
1.4321,1.4561
1.4296,1.4584
1.427,1.4607
1.4244,1.4629
1.4218,1.4651
1.4192,1.4674
1.4167,1.4696
1.4141,1.4718
1.4115,1.474
1.4089,1.4763
1.4064,1.4785
1.4038,1.4807
1.4012,1.4828
1.3987,1.485
1.3961,1.4872
1.3935,1.4894
1.391,1.4915
1.3884,1.4937
1.3858,1.4958
1.3833,1.498
1.3807,1.5001
1.3781,1.5023
1.3756,1.5044
1.373,1.5065
1.3704,1.5086
1.3679,1.5107
1.3653,1.5128
1.3627,1.5149
1.3602,1.517
1.3576,1.5191
1.3551,1.5212
1.3525,1.5232
1.35,1.5253
1.3474,1.5274
1.3448,1.5294
1.3423,1.5314
1.3397,1.5335
1.3372,1.5355
1.3346,1.5375
1.3321,1.5396
1.3295,1.5416
1.327,1.5436
1.3244,1.5456
1.3218,1.5476
1.3193,1.5496
1.3167,1.5516
1.3142,1.5535
1.3116,1.5555
1.3091,1.5575
1.3065,1.5594
1.304,1.5614
1.3015,1.5633
1.2989,1.5653
1.2964,1.5672
1.2938,1.5691
1.2913,1.5711
1.2887,1.573
1.2862,1.5749
1.2836,1.5768
1.2811,1.5787
1.2785,1.5806
1.276,1.5825
1.2735,1.5843
1.2709,1.5862
1.2684,1.5881
1.2658,1.5899
1.2633,1.5918
1.2607,1.5937
1.2582,1.5955
1.2557,1.5973
1.2531,1.5992
1.2506,1.601
1.248,1.6028
1.2455,1.6046
1.243,1.6064
1.2404,1.6082
1.2379,1.61
1.2354,1.6118
1.2328,1.6136
1.2303,1.6154
1.2278,1.6172
1.2252,1.6189
1.2227,1.6207
1.2201,1.6225
1.2176,1.6242
1.2151,1.626
1.2125,1.6277
1.21,1.6294
1.2075,1.6312
1.2049,1.6329
1.2024,1.6346
1.1999,1.6363
1.1974,1.638
1.1948,1.6397
1.1923,1.6414
1.1898,1.6431
1.1872,1.6448
1.1847,1.6464
1.1822,1.6481
1.1796,1.6498
1.1771,1.6514
1.1746,1.6531
1.1721,1.6547
1.1695,1.6564
1.167,1.658
1.1645,1.6596
1.162,1.6613
1.1594,1.6629
1.1569,1.6645
1.1544,1.6661
1.1519,1.6677
1.1493,1.6693
1.1468,1.6709
1.1443,1.6724
1.1418,1.674
1.1392,1.6756
1.1367,1.6772
1.1342,1.6787
1.1317,1.6803
1.1292,1.6818
1.1266,1.6834
1.1241,1.6849
1.1216,1.6864
1.1191,1.6879
1.1166,1.6895
1.114,1.691
1.1115,1.6925
1.109,1.694
1.1065,1.6955
1.104,1.697
1.1015,1.6985
1.0989,1.6999
1.0964,1.7014
1.0939,1.7029
1.0914,1.7043
1.0889,1.7058
1.0864,1.7072
1.0839,1.7087
1.0813,1.7101
1.0788,1.7115
1.0763,1.713
1.0738,1.7144
1.0713,1.7158
1.0688,1.7172
1.0663,1.7186
1.0638,1.72
1.0613,1.7214
1.0588,1.7228
1.0562,1.7242
1.0537,1.7255
1.0512,1.7269
1.0487,1.7283
1.0462,1.7296
1.0437,1.731
1.0412,1.7323
1.0387,1.7337
1.0362,1.735
1.0337,1.7363
1.0312,1.7376
1.0287,1.739
1.0262,1.7403
1.0237,1.7416
1.0212,1.7429
1.0187,1.7442
1.0162,1.7454
1.0137,1.7467
1.0112,1.748
1.0087,1.7493
1.0062,1.7505
1.0037,1.7518
1.0012,1.753
0.99874,1.7543
0.99625,1.7555
0.99376,1.7568
0.99127,1.758
0.98878,1.7592
0.98629,1.7604
0.9838,1.7616
0.98131,1.7628
0.97882,1.764
0.97634,1.7652
0.97385,1.7664
0.97137,1.7676
0.96888,1.7688
0.9664,1.77
0.96392,1.7711
