t,theta_1,theta_2,omega_1,omega_2,f_torque1,f_torque2,c_torque1,c_torque2,e_theta1,e_theta2
4.378438234329224,1.3520225445416312,1.5339530428184769,0.0034946483,0.2048526,1.6285294,0.41358948,0,0,1.660987038021033,1.8233589900852238
4.398417234420776,1.3529159734633307,1.5394504984154007,0.02825132,0.21683285,1.6015595,0.42081118,0,0,1.6579190764452614,1.821825009297338
4.424908399581909,1.3532751212504248,1.54320034582751,0.015969709,0.24971569,1.6065882,0.43271303,0,0,1.651783153293719,1.821825009297338
4.442859888076782,1.3536381582405905,1.5471294840111038,0.030620309,0.24853581,1.6037719,0.41256666,0,0,1.6471812109300616,1.8202910285094522
4.49283766746521,1.3545264909651618,1.5624388178123734,0.013746008,0.25468296,1.5541766,0.41281462,0,0,1.636443345414862,1.8187570477215664
4.512827157974243,1.3546251962569098,1.5662420709862015,0.0259673,0.2514998,1.5510191,0.4284978,0,0,1.6303074222633196,1.8172230669336806
4.530813932418823,1.354898409047399,1.5703009088768265,0.026267836,0.22965786,1.5391738,0.4583764,0,0,1.625705479899663,1.8172230669336806
4.558832168579102,1.3549367795374732,1.5751093347801468,0.011961328,0.20193945,1.5226316,0.45592785,0,0,1.6211035375360057,1.8156890861457948
4.584763526916504,1.3552115569498877,1.5809300859703324,0.028494589,0.26758298,1.5136559,0.44380903,0,0,1.6134336335965775,1.8156890861457948
4.609753608703613,1.3554939488556723,1.5873993356956742,0.0013068244,0.22648494,1.4871607,0.460577,0,0,1.608831691232921,1.8156890861457948
4.632833957672119,1.3556112955000739,1.5917776544822952,0.0011008084,0.2610901,1.4789296,0.50037384,0,0,1.6042297488692636,1.81415510535791
4.665746212005615,1.355788336196218,1.5994876344932816,0.02978304,0.26338783,1.4735557,0.48242807,0,0,1.5980938257177213,1.81415510535791
4.68473219871521,1.355832458534513,1.6029032190574906,0.031552058,0.1475955,1.4604692,0.51965237,0,0,1.5934918833540648,1.81415510535791
4.733693599700928,1.3559664050724844,1.6164501627220413,0.015415324,0.24568236,1.4528098,0.5529094,0,0,1.5812200370509792,1.81415510535791
4.772664546966553,1.3559905300524573,1.627200933290889,-0.018328603,0.29881042,1.4285749,0.5110359,0,0,1.5704821715357795,1.81415510535791
4.7936389446258545,1.356051162877355,1.6324065645469925,-0.008079514,0.32530156,1.393494,0.5477333,0,0,1.5643462483842372,1.8126211245700241
4.812616586685181,1.355964214601789,1.6389955003990433,-0.0041859387,0.27006578,1.3646069,0.5200863,0,0,1.5597443060205807,1.8126211245700241
4.838626861572266,1.3559115240958075,1.64435419638293,-0.0038898168,0.32419044,1.316693,0.505085,0,0,1.5536083828690375,1.8126211245700241
4.862088918685913,1.3558446625855307,1.6497710665001175,-0.027736165,0.20648862,1.2806118,0.52473545,0,0,1.5459384789296093,1.8126211245700241
4.885028123855591,1.355797485509191,1.6552484949363968,-0.035088263,0.24856552,1.2555486,0.45822144,0,0,1.5413365365659528,1.8126211245700241
4.90198278427124,1.3557467619564871,1.660366388155391,0.011341368,0.29481038,1.224082,0.49082756,0,0,1.5367345942022954,1.8126211245700241
4.926921844482422,1.3555464456465582,1.66542992193835,-0.0128443055,0.26730147,1.1709474,0.527277,0,0,1.530598671050753,1.8110871437821383
4.944873571395874,1.3551009009268622,1.6720741709007523,-0.020386146,0.32193938,1.1246878,0.5168009,0,0,1.5244627478992108,1.8110871437821383
